COD;Fecha;FechaNum;Mes;Año;MesAño;Month;MonthYear
OCT2056;01/10/2056;57254;Octubre;2056;Oct-56;October;Oct-56
NOV2056;01/11/2056;57285;Noviembre;2056;Nov-56;November;Nov-56
DIC2056;01/12/2056;57315;Diciembre;2056;Dic-56;December;Dec-56
ENE2057;01/01/2057;57346;Enero;2057;Ene-57;January;Jan-57
FEB2057;01/02/2057;57377;Febrero;2057;Feb-57;February;Feb-57
MAR2057;01/03/2057;57405;Marzo;2057;Mar-57;March;Mar-57
ABR2057;01/04/2057;57436;Abril;2057;Abr-57;April;Apr-57
MAY2057;01/05/2057;57466;Mayo;2057;May-57;May;May-57
JUN2057;01/06/2057;57497;Junio;2057;Jun-57;June;Jun-57
JUL2057;01/07/2057;57527;Julio;2057;Jul-57;July;Jul-57
AGO2057;01/08/2057;57558;Agosto;2057;Ago-57;August;Aug-57
SEP2057;01/09/2057;57589;Septiembre;2057;Sep-57;September;Sep-57
OCT2057;01/10/2057;57619;Octubre;2057;Oct-57;October;Oct-57
NOV2057;01/11/2057;57650;Noviembre;2057;Nov-57;November;Nov-57
DIC2057;01/12/2057;57680;Diciembre;2057;Dic-57;December;Dec-57
ENE2058;01/01/2058;57711;Enero;2058;Ene-58;January;Jan-58
FEB2058;01/02/2058;57742;Febrero;2058;Feb-58;February;Feb-58
MAR2058;01/03/2058;57770;Marzo;2058;Mar-58;March;Mar-58
ABR2058;01/04/2058;57801;Abril;2058;Abr-58;April;Apr-58
MAY2058;01/05/2058;57831;Mayo;2058;May-58;May;May-58
JUN2058;01/06/2058;57862;Junio;2058;Jun-58;June;Jun-58
JUL2058;01/07/2058;57892;Julio;2058;Jul-58;July;Jul-58
AGO2058;01/08/2058;57923;Agosto;2058;Ago-58;August;Aug-58
SEP2058;01/09/2058;57954;Septiembre;2058;Sep-58;September;Sep-58
OCT2058;01/10/2058;57984;Octubre;2058;Oct-58;October;Oct-58
NOV2058;01/11/2058;58015;Noviembre;2058;Nov-58;November;Nov-58
DIC2058;01/12/2058;58045;Diciembre;2058;Dic-58;December;Dec-58
ENE2059;01/01/2059;58076;Enero;2059;Ene-59;January;Jan-59
FEB2059;01/02/2059;58107;Febrero;2059;Feb-59;February;Feb-59
MAR2059;01/03/2059;58135;Marzo;2059;Mar-59;March;Mar-59
ABR2059;01/04/2059;58166;Abril;2059;Abr-59;April;Apr-59
MAY2059;01/05/2059;58196;Mayo;2059;May-59;May;May-59
JUN2059;01/06/2059;58227;Junio;2059;Jun-59;June;Jun-59
JUL2059;01/07/2059;58257;Julio;2059;Jul-59;July;Jul-59
AGO2059;01/08/2059;58288;Agosto;2059;Ago-59;August;Aug-59
SEP2059;01/09/2059;58319;Septiembre;2059;Sep-59;September;Sep-59
OCT2059;01/10/2059;58349;Octubre;2059;Oct-59;October;Oct-59
NOV2059;01/11/2059;58380;Noviembre;2059;Nov-59;November;Nov-59
DIC2059;01/12/2059;58410;Diciembre;2059;Dic-59;December;Dec-59
ENE2060;01/01/2060;58441;Enero;2060;Ene-60;January;Jan-60
FEB2060;01/02/2060;58472;Febrero;2060;Feb-60;February;Feb-60
MAR2060;01/03/2060;58501;Marzo;2060;Mar-60;March;Mar-60
ABR2060;01/04/2060;58532;Abril;2060;Abr-60;April;Apr-60
MAY2060;01/05/2060;58562;Mayo;2060;May-60;May;May-60
JUN2060;01/06/2060;58593;Junio;2060;Jun-60;June;Jun-60
JUL2060;01/07/2060;58623;Julio;2060;Jul-60;July;Jul-60
AGO2060;01/08/2060;58654;Agosto;2060;Ago-60;August;Aug-60
SEP2060;01/09/2060;58685;Septiembre;2060;Sep-60;September;Sep-60
OCT2060;01/10/2060;58715;Octubre;2060;Oct-60;October;Oct-60
NOV2060;01/11/2060;58746;Noviembre;2060;Nov-60;November;Nov-60
DIC2060;01/12/2060;58776;Diciembre;2060;Dic-60;December;Dec-60
ENE2061;01/01/2061;58807;Enero;2061;Ene-61;January;Jan-61
FEB2061;01/02/2061;58838;Febrero;2061;Feb-61;February;Feb-61
MAR2061;01/03/2061;58866;Marzo;2061;Mar-61;March;Mar-61
ABR2061;01/04/2061;58897;Abril;2061;Abr-61;April;Apr-61
MAY2061;01/05/2061;58927;Mayo;2061;May-61;May;May-61
JUN2061;01/06/2061;58958;Junio;2061;Jun-61;June;Jun-61
JUL2061;01/07/2061;58988;Julio;2061;Jul-61;July;Jul-61
AGO2061;01/08/2061;59019;Agosto;2061;Ago-61;August;Aug-61
SEP2061;01/09/2061;59050;Septiembre;2061;Sep-61;September;Sep-61
OCT2061;01/10/2061;59080;Octubre;2061;Oct-61;October;Oct-61
NOV2061;01/11/2061;59111;Noviembre;2061;Nov-61;November;Nov-61
DIC2061;01/12/2061;59141;Diciembre;2061;Dic-61;December;Dec-61
ENE2062;01/01/2062;59172;Enero;2062;Ene-62;January;Jan-62
FEB2062;01/02/2062;59203;Febrero;2062;Feb-62;February;Feb-62
MAR2062;01/03/2062;59231;Marzo;2062;Mar-62;March;Mar-62
ABR2062;01/04/2062;59262;Abril;2062;Abr-62;April;Apr-62
MAY2062;01/05/2062;59292;Mayo;2062;May-62;May;May-62
JUN2062;01/06/2062;59323;Junio;2062;Jun-62;June;Jun-62
JUL2062;01/07/2062;59353;Julio;2062;Jul-62;July;Jul-62
AGO2062;01/08/2062;59384;Agosto;2062;Ago-62;August;Aug-62
SEP2062;01/09/2062;59415;Septiembre;2062;Sep-62;September;Sep-62
OCT2062;01/10/2062;59445;Octubre;2062;Oct-62;October;Oct-62
NOV2062;01/11/2062;59476;Noviembre;2062;Nov-62;November;Nov-62
DIC2062;01/12/2062;59506;Diciembre;2062;Dic-62;December;Dec-62
ENE2063;01/01/2063;59537;Enero;2063;Ene-63;January;Jan-63
FEB2063;01/02/2063;59568;Febrero;2063;Feb-63;February;Feb-63
MAR2063;01/03/2063;59596;Marzo;2063;Mar-63;March;Mar-63
ABR2063;01/04/2063;59627;Abril;2063;Abr-63;April;Apr-63
MAY2063;01/05/2063;59657;Mayo;2063;May-63;May;May-63
JUN2063;01/06/2063;59688;Junio;2063;Jun-63;June;Jun-63
JUL2063;01/07/2063;59718;Julio;2063;Jul-63;July;Jul-63
AGO2063;01/08/2063;59749;Agosto;2063;Ago-63;August;Aug-63
SEP2063;01/09/2063;59780;Septiembre;2063;Sep-63;September;Sep-63
OCT2063;01/10/2063;59810;Octubre;2063;Oct-63;October;Oct-63
NOV2063;01/11/2063;59841;Noviembre;2063;Nov-63;November;Nov-63
DIC2063;01/12/2063;59871;Diciembre;2063;Dic-63;December;Dec-63
ENE2064;01/01/2064;59902;Enero;2064;Ene-64;January;Jan-64
FEB2064;01/02/2064;59933;Febrero;2064;Feb-64;February;Feb-64
MAR2064;01/03/2064;59962;Marzo;2064;Mar-64;March;Mar-64
ABR2064;01/04/2064;59993;Abril;2064;Abr-64;April;Apr-64
MAY2064;01/05/2064;60023;Mayo;2064;May-64;May;May-64
